병원명,거리_1,거리_2,거리_3,거리_4,거리_5
한빛현요양병원,0.0,0.3251460373408248,0.451170396923904,0.33546199644687863,0.16747965100843473
수원브이아이피요양병원,0.1041210838028637,0.0,0.0,0.12369737021446436,0.017624110514709364
연세엘림요양병원,0.17643928136646903,0.14490803942327893,0.42419904119766344,0.2534116861165133,0.4144078435923297
연세수요양병원,0.2218409141633884,0.19793535070902785,0.34290899098160105,0.18040559046811783,0.03404176438867135
위더스요양병원,0.2486386225735354,0.23221076804674629,0.23852412857652602,0.48185819608470815,0.9282094753068212
효정요양병원,0.37466122910066935,0.29286748536574536,0.19533785817584445,0.0,0.3768157799223758
수원센트럴요양병원,0.37953338227708067,0.38657720843300736,0.4972714345900345,0.3636244593081741,0.7461072460955369
수원삼성요양병원,0.4280043032974848,0.629207500354165,0.39618103910571245,0.586449403409358,0.5074304326137336
학교법인 대우학원 아주대학교요양병원,0.5039063364796059,0.43772629497229204,0.17329268312022597,0.30368880835236367,0.08090647850027904
수원요양병원,0.7366682996210213,0.7239755948882054,0.46142936796322265,0.3306389817012424,0.123254474904025
영통효요양병원,0.7516702141967918,0.7689863295210063,1.0,1.0,1.0
동서요양병원,0.7636877102843767,1.0,0.6536847101971397,0.6374702588883473,0.49821675151712896
메이저요양병원,0.7647236487001035,0.7677855321863685,0.49910707803345705,0.49330739168194426,0.35122420895396794
서울삼성호매실요양병원,1.0,0.8701022310850931,0.37089922922080903,0.2041389341481211,0.0
